,cartodb_id,bike_id,start_time,stop_time,trip_duration,start_station_name,end_station_name,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude
0,76852,26920,2017-03-03 05:32:51+00,2017-03-03 05:41:40+00,529,E 55 St & 3 Ave,E 32 St & Park Ave,40.7589965596,-73.9686539769,40.7457121,-73.98194829
1,77042,26920,2017-03-03 06:05:13+00,2017-03-03 06:10:05+00,292,E 32 St & Park Ave,1 Ave & E 30 St,40.7457121,-73.98194829,40.74144387,-73.97536082
2,79245,26920,2017-03-03 07:44:12+00,2017-03-03 07:56:59+00,766,1 Ave & E 30 St,W 38 St & 8 Ave,40.74144387,-73.97536082,40.75466591,-73.99138152
3,80587,26920,2017-03-03 08:12:04+00,2017-03-03 08:41:29+00,1764,W 38 St & 8 Ave,Front St & Maiden Ln,40.75466591,-73.99138152,40.70530954,-74.00612572
4,87735,26920,2017-03-03 11:07:59+00,2017-03-03 11:35:06+00,1626,Front St & Maiden Ln,E 52 St & 2 Ave,40.70530954,-74.00612572,40.756014,-73.967416
5,91772,26920,2017-03-03 13:54:04+00,2017-03-03 14:11:40+00,1056,E 52 St & 2 Ave,E 9 St & Avenue C,40.756014,-73.967416,40.72521311,-73.97768752
6,92506,26920,2017-03-03 14:22:04+00,2017-03-03 14:25:52+00,228,E 9 St & Avenue C,E 20 St & FDR Drive,40.72521311,-73.97768752,40.73314259,-73.97573881
7,93146,26920,2017-03-03 14:44:08+00,2017-03-03 14:46:58+00,170,E 20 St & FDR Drive,E 23 St & 1 Ave,40.73314259,-73.97573881,40.736502,-73.97809472
8,93327,26920,2017-03-03 14:49:45+00,2017-03-03 14:55:41+00,355,E 23 St & 1 Ave,E 17 St & Broadway,40.736502,-73.97809472,40.73704984,-73.99009296
9,101237,26920,2017-03-03 18:05:23+00,2017-03-03 18:15:11+00,587,E 17 St & Broadway,Pershing Square North,40.73704984,-73.99009296,40.751873,-73.977706
10,102220,26920,2017-03-03 18:25:02+00,2017-03-03 18:32:03+00,420,Pershing Square North,W 33 St & 7 Ave,40.751873,-73.977706,40.75019995,-73.99093085
11,106384,26920,2017-03-03 21:31:12+00,2017-03-03 21:38:17+00,424,W 33 St & 7 Ave,W 41 St & 8 Ave,40.75019995,-73.99093085,40.75640548,-73.9900262
12,106853,26920,2017-03-03 22:24:35+00,2017-03-03 22:38:11+00,816,W 41 St & 8 Ave,Central Park West & W 72 St,40.75640548,-73.9900262,40.7757937668,-73.9762057364
